Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly) 
 01/15  15:00:00,11.375,7.2399310513326 
 01/15  16:00:00,11.625,7.348573539645868 
 01/15  17:00:00,10.125,7.191299341529069 
 01/15  18:00:00,8.375,6.733220073434343 
 01/15  19:00:00,8.0,6.543652320764021 
 01/15  20:00:00,6.75,6.428711611550057 
 01/15  21:00:00,6.625,6.265316890038894 
 01/15  22:00:00,4.5,6.178128480030706 
 01/15  23:00:00,2.375,5.821227932152521 
 01/15  24:00:00,3.875,5.691049847982956 
 01/16  01:00:00,2.5,5.726088760278701 
 01/16  02:00:00,1.0,5.485176785732817 
 01/16  03:00:00,-0.875,5.27283680665137 
 01/16  04:00:00,-2.625,4.9183788675570379 
 01/16  05:00:00,-1.75,4.718508029844648 
 01/16  06:00:00,-0.375,4.697657020583044 
 01/16  07:00:00,-0.625,4.5710047248545229 
 01/16  08:00:00,-1.0,4.547384043840368 
 01/16  09:00:00,2.125,5.266432994160964 
 01/16  10:00:00,5.875,6.41592809942231 
 01/16  11:00:00,8.25,7.133644203489253 
 01/16  12:00:00,9.625,6.899564632321308 
 01/16  13:00:00,8.125,6.783139067965118 
 01/16  14:00:00,9.5,8.153347559559256 
 01/16  15:00:00,12.25,8.869726268429313 
 01/16  16:00:00,11.75,8.724036197787506 
 01/16  17:00:00,8.5,7.986722901237227 
 01/16  18:00:00,7.0,7.314518164623004 
 01/16  19:00:00,7.0,7.14240717783403 
 01/16  20:00:00,5.125,6.988579052940599 
 01/16  21:00:00,4.0,6.680599624125023 
 01/16  22:00:00,-0.375,6.390272036643053 
 01/16  23:00:00,-1.125,5.989796986412779 
 01/16  24:00:00,3.75,6.096497210382647 
 01/17  01:00:00,4.125,6.246801092471632 
 01/17  02:00:00,1.125,6.000667401139674 
 01/17  03:00:00,-0.625,5.724074997702689 
 01/17  04:00:00,-1.0,5.543810249695701 
 01/17  05:00:00,-2.25,5.303034311841345 
 01/17  06:00:00,-2.375,4.987229699777363 
 01/17  07:00:00,-1.375,4.832695934025056 
 01/17  08:00:00,-1.0,4.948034128228183 
 01/17  09:00:00,0.25,5.639404050594546 
 01/17  10:00:00,1.625,6.328647974570394 
 01/17  11:00:00,2.625,6.599010815540084 
 01/17  12:00:00,3.0,6.583339084955352 
 01/17  13:00:00,3.0,6.628681558017085 
 01/17  14:00:00,3.0,6.788834206285529 
 01/17  15:00:00,3.0,6.905335522900637 
 01/17  16:00:00,3.0,6.846519104546879 
 01/17  17:00:00,1.75,6.502201505897885 
 01/17  18:00:00,0.375,5.836620477614694 
 01/17  19:00:00,-1.875,5.432260791989254 
 01/17  20:00:00,-2.375,5.060168681836217 
 01/17  21:00:00,-2.625,4.927611983676348 
 01/17  22:00:00,-3.0,4.720216084597672 
 01/17  23:00:00,-2.375,4.57766176668535 
 01/17  24:00:00,-3.25,4.41717320338241 
 01/18  01:00:00,-2.125,4.24456876454335 
 01/18  02:00:00,-1.625,4.212544913018873 
 01/18  03:00:00,-2.625,4.015221858636784 
 01/18  04:00:00,-2.375,3.8234134228281166 
 01/18  05:00:00,-2.625,3.674405867011584 
 01/18  06:00:00,-1.75,3.487578154157105 
 01/18  07:00:00,-1.0,3.412989866132413 
 01/18  08:00:00,0.875,3.564333681420901 
 01/18  09:00:00,6.375,4.72486067540296 
 01/18  10:00:00,11.5,6.262960495804046 
 01/18  11:00:00,13.625,7.592197573490521 
 01/18  12:00:00,15.25,8.105412738419254 
 01/18  13:00:00,14.75,7.652335100928262 
 01/18  14:00:00,14.0,7.7968538606544 
 01/18  15:00:00,14.625,8.181443157525502 
 01/18  16:00:00,13.75,8.38941252599214 
 01/18  17:00:00,12.375,8.305720410414187 
 01/18  18:00:00,11.375,7.771209917244635 
 01/18  19:00:00,9.125,7.479450669619551 
 01/18  20:00:00,6.75,7.105042455537982 
 01/18  21:00:00,6.0,6.766410284371807 
 01/18  22:00:00,6.625,6.808401591404581 
 01/18  23:00:00,7.625,6.889186051951665 
 01/18  24:00:00,7.375,6.885325329911039 
 01/19  01:00:00,5.75,6.739879458100141 
 01/19  02:00:00,3.125,6.50900954076463 
 01/19  03:00:00,1.375,6.270346475114249 
 01/19  04:00:00,1.625,6.122817523305708 
 01/19  05:00:00,2.0,6.051298030189237 
 01/19  06:00:00,1.375,5.88611935510506 
 01/19  07:00:00,1.625,5.735692229615523 
 01/19  08:00:00,2.0,5.89934794785714 
 01/19  09:00:00,3.25,6.92725989548277 
 01/19  10:00:00,5.875,7.758310707485098 
 01/19  11:00:00,8.875,8.128861763798892 
 01/19  12:00:00,11.25,8.894530312643198 
 01/19  13:00:00,12.625,9.584267869942943 
 01/19  14:00:00,13.0,10.277290079612456 
 01/19  15:00:00,12.875,10.750397798544741 
 01/19  16:00:00,12.3,11.049509505028384 
 01/19  17:00:00,10.125,10.432763094180516 
 01/19  18:00:00,7.125,9.35981696732581 
 01/19  19:00:00,4.125,8.741958561358136 
 01/19  20:00:00,4.875,8.50208180707158 
 01/19  21:00:00,4.75,8.462577175645983 
 01/19  22:00:00,4.0,8.293503132849164 
 01/19  23:00:00,4.0,8.17147058192821 
 01/19  24:00:00,3.375,8.020293468697846 
 01/20  01:00:00,2.375,7.752391263809065 
 01/20  02:00:00,0.125,7.419849522544115 
 01/20  03:00:00,-1.625,7.047033989130854 
 01/20  04:00:00,-0.125,6.970124136065975 
 01/20  05:00:00,2.25,7.033657882448051 
 01/20  06:00:00,3.625,7.0602319111967148 
 01/20  07:00:00,2.75,6.951885315275751 
 01/20  08:00:00,1.375,6.879120155399772 
 01/20  09:00:00,2.875,7.731877619972928 
 01/20  10:00:00,7.125,8.805645024091739 
 01/20  11:00:00,10.25,9.44710394152191 
 01/20  12:00:00,11.625,10.19993071680986 
 01/20  13:00:00,12.0,10.104816950407284 
 01/20  14:00:00,12.0,9.573275482226175 
 01/20  15:00:00,11.375,9.321056627020635 
 01/20  16:00:00,10.375,9.197531861409761 
 01/20  17:00:00,9.375,9.044343933636839 
 01/20  18:00:00,9.0,8.882214025123029 
 01/20  19:00:00,7.125,8.730990567490164 
 01/20  20:00:00,4.75,8.481036819101425 
 01/20  21:00:00,2.75,8.2070346689794 
 01/20  22:00:00,0.125,7.845463614531454 
 01/20  23:00:00,-1.625,7.437233784655318 
 01/20  24:00:00,-2.0,7.1502223038653789 
 01/21  01:00:00,-1.375,6.957859031295554 
 01/21  02:00:00,-1.625,6.7893845836699679 
 01/21  03:00:00,-2.0,6.557054855949001 
 01/21  04:00:00,-2.625,6.345785549732943 
 01/21  05:00:00,-2.375,6.136018061076198 
 01/21  06:00:00,-0.75,6.024927100245208 
 01/21  07:00:00,-1.25,5.918553805916533 
 01/21  08:00:00,-0.125,5.769875405414227 
 01/21  09:00:00,1.625,5.975837478824149 
 01/21  10:00:00,3.25,6.129013265156132 
 01/21  11:00:00,4.0,6.3846173583157219 
 01/21  12:00:00,4.0,6.580712564673775 
 01/21  13:00:00,4.0,6.602253385535519 
