Date/Time,PLENUM:Zone Air Temperature [C](TimeStep),SOUTH PERIMETER:Zone Air Temperature [C](TimeStep),EAST PERIMETER:Zone Air Temperature [C](TimeStep),NORTH PERIMETER:Zone Air Temperature [C](TimeStep),WEST PERIMETER:Zone Air Temperature [C](TimeStep),CORE:Zone Air Temperature [C](TimeStep) 
 01/21  23:45:00,9.02645396757691,15.548053754537435,15.399589143120659,15.529358510775913,15.399589143120658,17.369872984524144 
 01/21  24:00:00,9.026453967534364,15.548053754527962,15.399589143110977,15.529358510766422,15.399589143110973,17.369872984514534 
 07/21  00:15:00,27.51996732732276,24.478971549510584,24.532100789844209,24.5024944769268,24.742667655119566,24.527025642315487 
 07/21  00:30:00,27.301574696805628,24.374300328798215,24.42388968836061,24.39322720060495,24.606819341103067,24.433076460359115 
 07/21  00:45:00,27.090265730423668,24.276162937230344,24.3222716575531,24.291061989747815,24.48119245097036,24.34547907449794 
 07/21  01:00:00,26.885743409588359,24.184059867903149,24.22679491756165,24.195435428863225,24.364857229843346,24.26357592266224 
 07/21  01:15:00,26.687965030495449,24.09862442918254,24.137955999004789,24.106873261161323,24.257924548102829,24.18748608273418 
 07/21  01:30:00,26.49684570093433,24.01904146031008,24.05493734167444,24.024516243032307,24.159199016075325,24.116678305788775 
 07/21  01:45:00,26.312269145339849,23.944288752261128,23.97681786950331,23.947315888998774,24.0674363274843,24.050381838679685 
 07/21  02:00:00,26.134126328070946,23.87372421572131,23.903040510525636,23.874598540032538,23.98180735065351,23.9879816228535 
 07/21  02:15:00,25.962322525606344,23.80752827682876,23.833754917639284,23.806487378793788,23.902226925007509,23.929350727352266 
 07/21  02:30:00,25.79674643128131,23.745350325153404,23.768593967302129,23.742603129662109,23.828122748357186,23.874187391706614 
 07/21  02:45:00,25.63727787016455,23.68666636156559,23.70705885848477,23.68240556069077,23.758817399940253,23.822112163151357 
 07/21  03:00:00,25.483788666584088,23.631083858250368,23.648786084515906,23.625484701428399,23.69379253507189,23.77280654233857 
 07/21  03:15:00,25.336134261897607,23.578337050595019,23.59351955238462,23.57155571894525,23.63265791929857,23.72603280708276 
 07/21  03:30:00,25.194148821108074,23.528207964814148,23.54103617345267,23.520382622553968,23.575074148353168,23.681601037135068 
 07/21  03:45:00,25.05764698089017,23.480491835129678,23.49112192083634,23.471744692243794,23.520726276769115,23.639343105064865 
 07/21  04:00:00,24.92642910212977,23.43499673799558,23.443576000486055,23.425435935185044,23.469325937950097,23.59910412333854 
 07/21  04:15:00,24.8007311974224,23.39220588083552,23.398812481266924,23.381903549904739,23.421212085316385,23.561134605402804 
 07/21  04:30:00,24.67995449111359,23.351854984987488,23.356539211468545,23.340875393346854,23.3760257924473,23.525234617764217 
 07/21  04:45:00,24.56377253198319,23.313530706713907,23.31639417545668,23.301951948983047,23.333322598719389,23.49111568452643 
 07/21  05:00:00,24.45641642404968,23.282095573000669,23.38260663672502,23.31148949765662,23.299061004530047,23.459352813183913 
